itemset,count,support
"{'patient education', 'nursing'}",114,0.008870214752567693
"{'food safety', 'inventory management'}",113,0.00879240585122938
"{'scheduling', 'inventory management'}",114,0.008870214752567693
"{'scheduling', 'customer service'}",191,0.014861500155617803
"{'safety', 'training'}",127,0.009881730469965764
"{'motivation', 'customer service'}",101,0.007858699035169623
"{'initiative', 'communication'}",121,0.009414877061935886
"{'sales', 'attention detail'}",121,0.009414877061935886
"{'coaching', 'leadership'}",163,0.012682850918145036
"{'training', 'development'}",211,0.016417678182384064
"{'training', 'coaching'}",107,0.008325552443199501
"{'training', 'customer service'}",161,0.01252723311546841
"{'multitasking', 'customer service'}",193,0.015017117958294428
"{'communication', 'customer service'}",400,0.03112356053532524
"{'data analysis', 'communication'}",194,0.015094926859632742
"{'time management', 'leadership'}",112,0.008714596949891068
"{'attention detail', 'communication skills'}",283,0.02201991907874261
"{'customer service', 'communication skills'}",153,0.011904761904761904
"{'medication administration', 'nursing'}",113,0.00879240585122938
"{'leadership', 'nursing'}",159,0.012371615312791783
"{'collaboration', 'nursing'}",121,0.009414877061935886
"{'leadership', 'collaboration'}",145,0.0112822906940554
"{'customer service', 'collaboration'}",105,0.008169934640522876
"{'communication', 'supervision'}",103,0.00801431683784625
"{'teamwork', 'multitasking'}",139,0.010815437286025522
"{'customer service', 'microsoft office'}",121,0.009414877061935886
"{'high school diploma ged', 'customer service'}",115,0.008948023653906007
"{'leadership', 'bachelors degree'}",109,0.008481170245876128
"{'critical thinking', 'nursing'}",159,0.012371615312791783
"{'teamwork', 'critical thinking'}",119,0.009259259259259259
"{'communication', 'decisionmaking'}",128,0.009959539371304078
"{'communication skills', 'leadership'}",102,0.007936507936507936
"{'microsoft office suite', 'leadership'}",110,0.008558979147214442
"{'management', 'leadership'}",106,0.00824774354186119
"{'problem solving', 'inventory management'}",109,0.008481170245876128
"{'communication skills', 'inventory management'}",106,0.00824774354186119
"{'customer service', 'flexibility'}",203,0.01579520697167756
"{'communication', 'sales'}",146,0.011360099595393714
"{'conflict resolution', 'communication'}",177,0.013772175536881419
"{'communication', 'cash handling'}",108,0.008403361344537815
"{'problemsolving', 'decisionmaking'}",129,0.010037348272642391
"{'problemsolving', 'adaptability'}",155,0.012060379707438531
"{'food safety', 'customer service'}",144,0.011204481792717087
"{'safety', 'communication'}",135,0.01050420168067227
"{'teamwork', 'collaboration'}",133,0.010348583877995643
"{'development', 'customer service'}",100,0.00778089013383131
"{'medical', 'vision'}",104,0.008092125739184563
"{'vision', 'dental'}",119,0.009259259259259259
"{'data analysis', 'time management'}",133,0.010348583877995643
"{'data analysis', 'project management'}",139,0.010815437286025522
"{'problemsolving', 'project management'}",116,0.00902583255524432
"{'data analysis', 'problemsolving'}",125,0.009726112667289137
"{'data analysis', 'leadership'}",112,0.008714596949891068
"{'data analysis', 'bachelors degree'}",114,0.008870214752567693
"{'problemsolving', 'leadership'}",157,0.012215997510115158
"{'problemsolving', 'critical thinking'}",101,0.007858699035169623
"{'communication', 'critical thinking'}",207,0.01610644257703081
"{'problemsolving', 'time management'}",133,0.010348583877995643
"{'adaptability', 'customer service'}",198,0.015406162464985995
"{'product knowledge', 'customer service'}",147,0.011437908496732025
"{'customer service', 'merchandising'}",266,0.020697167755991286
"{'problem solving', 'decision making'}",185,0.014394646747587924
"{'problem solving', 'adaptability'}",154,0.011982570806100218
"{'microsoft excel', 'microsoft word'}",107,0.008325552443199501
"{'food safety', 'communication'}",102,0.007936507936507936
"{'coaching', 'customer service'}",130,0.010115157173980703
"{'time management', 'organizational skills'}",135,0.01050420168067227
"{'teamwork', 'flexibility'}",212,0.01649548708372238
"{'customer service', 'marketing'}",123,0.009570494864612512
"{'sales', 'marketing'}",162,0.012605042016806723
"{'sales', 'communication skills'}",124,0.009648303765950824
"{'training', 'scheduling'}",100,0.00778089013383131
"{'coaching', 'communication'}",113,0.00879240585122938
"{'communication', 'scheduling'}",145,0.0112822906940554
"{'leadership', 'team management'}",111,0.008636788048552755
"{'project management', 'leadership'}",107,0.008325552443199501
"{'data analysis', 'communication skills'}",111,0.008636788048552755
"{'cpr', 'nursing'}",100,0.00778089013383131
"{'sales', 'negotiation'}",102,0.007936507936507936
"{'time management', 'patient care'}",111,0.008636788048552755
"{'problemsolving', 'patient care'}",110,0.008558979147214442
"{'teamwork', 'time management'}",211,0.016417678182384064
"{'time management', 'flexibility'}",118,0.009181450357920945
"{'data analysis', 'reporting'}",107,0.008325552443199501
"{'patient care', 'medication administration'}",103,0.00801431683784625
"{'problemsolving', 'flexibility'}",109,0.008481170245876128
"{'teamwork', 'professionalism'}",104,0.008092125739184563
"{'problem solving', 'communication skills'}",171,0.01330532212885154
"{'critical thinking', 'patient care'}",148,0.011515717398070339
"{'teamwork', 'critical thinking'}",115,0.008948023653906007
"{'customer service', 'time management'}",116,0.00902583255524432
"{'health insurance', 'dental insurance'}",167,0.012994086523498288
"{'vision insurance', 'health insurance'}",157,0.012215997510115158
"{'management', 'communication'}",147,0.011437908496732025
"{'attention detail', 'inventory management'}",107,0.008325552443199501
"{'communication', 'physical stamina'}",124,0.009648303765950824
"{'health insurance', 'life insurance'}",114,0.008870214752567693
"{'communication', 'team leadership'}",114,0.008870214752567693
"{'drivers license', 'communication'}",107,0.008325552443199501
"{'patient care', 'collaboration'}",118,0.009181450357920945
"{'data analysis', 'attention detail'}",137,0.010659819483348895
"{'communication', 'reporting'}",102,0.007936507936507936
"{'written communication', 'verbal communication'}",113,0.00879240585122938
"{'bls', 'acls'}",117,0.009103641456582634
"{'scheduling', 'leadership'}",101,0.007858699035169623
"{'teamwork', 'physical stamina'}",104,0.008092125739184563
"{'budgeting', 'communication'}",141,0.010971055088702147
"{'conflict resolution', 'leadership'}",133,0.010348583877995643
"{'adaptability', 'time management'}",132,0.01027077497665733
"{'leadership', 'decision making'}",121,0.009414877061935886
"{'customer service', 'microsoft office suite'}",159,0.012371615312791783
"{'computer skills', 'customer service'}",115,0.008948023653906007
"{'teamwork', 'microsoft office suite'}",110,0.008558979147214442
"{'communication', 'coaching'}",113,0.00879240585122938
"{'critical thinking', 'time management'}",106,0.00824774354186119
"{'patient care', 'leadership'}",126,0.00980392156862745
"{'communication', 'team management'}",113,0.00879240585122938
"{'attention detail', 'flexibility'}",114,0.008870214752567693
"{'scheduling', 'leadership'}",111,0.008636788048552755
"{'problem solving', 'customer service'}",106,0.00824774354186119
"{'problemsolving', 'collaboration'}",110,0.008558979147214442
"{'leadership', 'collaboration'}",120,0.009337068160597572
"{'problem solving', 'training'}",112,0.008714596949891068
